"Date","Price","Open","High","Low","Vol.","Change %"
"10/07/2021","22.658","22.640","23.220","22.435","69.58K","0.56%"
"10/06/2021","22.532","22.635","22.840","22.385","41.56K","-0.34%"
"10/05/2021","22.608","22.725","22.700","22.185","38.89K","-0.16%"
"10/04/2021","22.644","22.600","22.730","22.380","27.04K","2.71%"
"09/30/2021","22.047","21.515","22.600","21.990","43.51K","2.62%"
"09/29/2021","21.485","22.475","22.225","21.460","66.12K","-4.34%"
"09/28/2021","22.460","22.635","22.565","21.410","80.16K","-0.99%"
"09/27/2021","22.685","22.435","22.680","22.080","55.49K","0.10%"
"09/23/2021","22.663","22.590","22.790","22.090","41.67K","-0.99%"
"09/22/2021","22.890","22.485","22.880","22.465","43.74K","1.31%"
"09/21/2021","22.593","22.210","23.150","22.455","51.99K","1.84%"
"09/20/2021","22.185","22.325","22.720","22.210","41.11K","-2.59%"
"09/16/2021","22.774","23.515","23.130","22.305","66.39K","-4.23%"
"09/15/2021","23.779","23.865","24.000","22.585","90.20K","-0.35%"
"09/14/2021","23.863","23.695","23.940","23.670","32.69K","0.37%"
"09/13/2021","23.775","23.455","23.980","23.435","42.44K","-1.58%"
"09/09/2021","24.156","23.975","24.345","23.760","39.09K","0.50%"
"09/08/2021","24.036","24.095","24.355","23.865","43.41K","-1.32%"
"09/07/2021","24.357","24.810","24.480","23.940","45.43K","1.91%"
"09/02/2021","23.900","23.900","24.945","23.910","67.19K","-1.24%"
"09/01/2021","24.201","23.935","24.275","23.815","36.86K","0.88%"
"08/31/2021","23.991","23.965","24.325","23.775","48.67K","0.00%"
"08/30/2021","23.992","24.130","24.270","23.830","44.56K","1.80%"
"08/26/2021","23.567","23.895","24.135","23.305","63.31K","-0.96%"
"08/25/2021","23.795","23.815","23.895","23.420","55.51K","-0.48%"
"08/24/2021","23.909","23.625","23.910","23.590","56.58K","1.03%"
"08/23/2021","23.666","23.035","23.975","23.545","52.17K","1.84%"
"08/19/2021","23.239","23.355","23.300","22.835","55.72K","-0.82%"
"08/18/2021","23.430","23.660","23.515","23.080","51.43K","-1.00%"
"08/17/2021","23.666","23.870","23.830","23.265","46.29K","-0.56%"
"08/16/2021","23.799","23.755","23.955","23.565","42.59K","2.93%"
"08/12/2021","23.122","23.130","23.830","23.130","53.76K","-1.59%"
"08/11/2021","23.496","23.495","23.530","22.970","66.98K","0.40%"
"08/10/2021","23.402","23.525","23.565","23.190","70.05K","0.53%"
"08/09/2021","23.279","23.750","23.675","23.220","62.93K","-8.00%"
"08/05/2021","25.303","25.480","25.230","24.205","113.95K","-0.67%"
"08/04/2021","25.474","25.500","25.565","25.115","42.43K","-0.47%"
"08/03/2021","25.595","25.515","26.090","25.375","72.93K","0.02%"
"08/02/2021","25.590","25.570","25.665","25.270","45.85K","-0.81%"
"07/29/2021","25.799","25.075","25.685","25.395","43.33K","3.71%"
