,AUDUSD,BRLUSD,Bitcoin,Oil,EURUSD,GBPUSD,Gold,JPYUSD,ZARUSD,ASX50,Ibovespa,FTSE100,SP500,JSE40,NIKKEI225,EUROSTOXX50,VIX,US_10Y,DE_10Y,UK_10Y,JP_10Y,AU_10Y,ZA_10Y
2016-11-10,0.7649353742599487,0.3093102276325226,715.5339965820312,44.65999984741211,1.0920606851577759,1.242081642150879,1265.5,0.009447063319385052,0.07419223338365555,5408.89990234375,61201.0,6828.0,2167.47998046875,45022.98828125,17344.419921875,3046.590087890625,14.739999771118164,2.15,0.189090909,1.3818,0.02,2.535,8.9040909091
2016-11-11,0.760861337184906,0.2944987416267395,716.4110107421875,44.65999984741211,1.0889687538146973,1.2553352117538452,1265.5,0.009358388371765614,0.07107573002576828,5446.60009765625,59184.0,6730.39990234375,2164.449951171875,43995.6484375,17374.7890625,3030.02001953125,14.170000076293945,2.15,0.189090909,1.3818,0.02,2.535,8.9040909091
2016-11-14,0.754944920539856,0.29498523473739624,705.02099609375,43.31999969482422,1.0824854373931885,1.2573871612548828,1221.199951171875,0.009357075206935406,0.07022817432880402,5420.2998046875,59657.0,6753.2001953125,2164.199951171875,43466.1796875,17672.619140625,3039.800048828125,14.479999542236328,2.23,0.189090909,1.3818,0.02,2.535,8.9040909091
2016-11-16,0.7553440928459167,0.29055407643318176,744.197998046875,45.56999969482422,1.0727311372756958,1.2456402778625488,1223.4000244140625,0.009171114303171635,0.07061398774385452,5399.60009765625,60759.0,6749.7001953125,2176.93994140625,43592.37890625,17862.2109375,3026.360107421875,13.720000267028809,2.22,0.189090909,1.3818,0.02,2.535,8.9040909091
2016-11-17,0.7494566440582275,0.28979626297950745,740.9769897460938,45.41999816894531,1.0706638097763062,1.2442454099655151,1216.5,0.009192443452775478,0.07002555578947067,5408.89990234375,59770.0,6794.7001953125,2187.1201171875,44171.46875,17862.630859375,3041.7900390625,13.350000381469727,2.29,0.189090909,1.3818,0.02,2.535,8.9040909091
2016-11-18,0.7398091554641724,0.2913413345813751,751.5850219726562,45.689998626708984,1.062304139137268,1.2410026788711548,1208.5,0.009069801308214664,0.0693267360329628,5427.5,59962.0,6775.7998046875,2181.89990234375,44216.55859375,17967.41015625,3020.830078125,12.850000381469727,2.34,0.189090909,1.3818,0.02,2.535,8.9040909091
2016-11-21,0.7323324680328369,0.29565680027008057,739.2479858398438,47.4900016784668,1.0584250688552856,1.2324377298355103,1209.5999755859375,0.00901120062917471,0.06933178007602692,5419.2998046875,61070.0,6778.0,2198.179931640625,44169.80078125,18106.01953125,3032.969970703125,12.420000076293945,2.33,0.189090909,1.3818,0.02,2.535,8.9040909091
2016-11-22,0.7376807332038879,0.29521167278289795,751.3469848632812,48.029998779296875,1.0638864040374756,1.2493752241134644,1211.0,0.009037505835294724,0.07037842273712158,5480.60009765625,61954.0,6819.7001953125,2202.93994140625,44575.05859375,18162.939453125,3044.330078125,12.40999984741211,2.31,0.189090909,1.3818,0.02,2.535,8.9040909091
2016-11-25,0.7416747212409973,0.2949243485927582,741.6489868164062,46.060001373291016,1.0561892986297607,1.2452834844589233,1178.199951171875,0.008826748467981815,0.07073136419057846,5570.5,61559.0,6840.7998046875,2213.35009765625,44208.66015625,18381.220703125,3048.3798828125,12.34000015258789,2.36,0.189090909,1.3818,0.02,2.535,8.9040909091
2016-11-28,0.7445462346076965,0.2923121750354767,735.81298828125,47.08000183105469,1.0612331628799438,1.248127818107605,1190.5999755859375,0.008876895532011986,0.07131151854991913,5532.60009765625,62855.0,6799.5,2201.719970703125,43616.91015625,18356.890625,3016.800048828125,13.149999618530273,2.32,0.189090909,1.3818,0.02,2.535,8.9040909091
2016-11-29,0.7494566440582275,0.29349613189697266,735.60400390625,45.22999954223633,1.062134861946106,1.2411566972732544,1187.9000244140625,0.008953352458775043,0.0728641003370285,5520.5,60987.0,6772.0,2204.659912109375,43602.71875,18307.0390625,3038.419921875,12.899999618530273,2.3,0.189090909,1.3818,0.02,2.535,8.9040909091
2016-11-30,0.7484470009803772,0.28953617811203003,745.6909790039062,49.439998626708984,1.0648492574691772,1.249219298362732,1170.800048828125,0.008891260251402855,0.07208454608917236,5502.39990234375,61906.0,6783.7998046875,2198.81005859375,43691.421875,18308.48046875,3051.610107421875,13.329999923706055,2.37,0.189090909,1.3818,0.02,2.535,8.9040909091
2016-12-01,0.7388798594474792,0.29357367753982544,756.7739868164062,51.060001373291016,1.0592098236083984,1.2517211437225342,1166.9000244140625,0.008718851953744888,0.07097544521093369,5560.39990234375,59507.0,6752.89990234375,2191.080078125,43412.41015625,18513.119140625,3030.97998046875,14.069999694824219,2.45,0.251904762,1.4336,0.04,2.799,8.9542105263
2016-12-02,0.7421150207519531,0.27987685799598694,777.9439697265625,51.68000030517578,1.0663141012191772,1.2589701414108276,1175.0999755859375,0.008778938092291355,0.07096325606107712,5502.60009765625,60316.0,6730.7001953125,2191.949951171875,42822.16015625,18426.080078125,3015.1298828125,14.119999885559082,2.4,0.251904762,1.4336,0.04,2.799,8.9542105263
2016-12-05,0.7443799376487732,0.2877946197986603,758.7000122070312,51.790000915527344,1.0582010746002197,1.266784906387329,1174.0,0.008810184895992279,0.07190220057964325,5458.0,59832.0,6746.7998046875,2204.7099609375,43192.44140625,18274.990234375,3052.75,12.140000343322754,2.39,0.251904762,1.4336,0.04,2.799,8.9542105263
2016-12-06,0.747439980506897,0.2923976480960846,764.2239990234375,50.93000030517578,1.0757315158843994,1.2728476524353027,1167.5999755859375,0.008782484568655491,0.07294419407844543,5486.60009765625,61088.0,6779.7998046875,2212.22998046875,42422.359375,18360.5390625,3100.760009765625,11.789999961853027,2.39,0.251904762,1.4336,0.04,2.799,8.9542105263
2016-12-07,0.7472166419029236,0.29357367753982544,768.1320190429688,49.77000045776367,1.0720411539077759,1.2671059370040894,1175.0,0.0087679298594594,0.07334335893392563,5535.39990234375,61414.0,6902.2001953125,2241.35009765625,42927.171875,18496.689453125,3142.239990234375,12.220000267028809,2.34,0.251904762,1.4336,0.04,2.799,8.9542105263
2016-12-08,0.748615026473999,0.2957180142402649,770.8099975585938,50.84000015258789,1.0761945247650146,1.262785792350769,1169.800048828125,0.008794069290161133,0.07430044561624527,5599.0,60677.0,6931.60009765625,2246.18994140625,43891.0703125,18765.470703125,3185.7900390625,12.640000343322754,2.4,0.251904762,1.4336,0.04,2.799,8.9542105263
2016-12-09,0.7459513545036316,0.296410471200943,772.7940063476562,51.5,1.062134861946106,1.2584948539733887,1159.4000244140625,0.008766163140535355,0.07330852001905441,5615.7998046875,60501.0,6954.2001953125,2259.530029296875,44220.23828125,18996.369140625,3197.5400390625,11.75,2.47,0.251904762,1.4336,0.04,2.799,8.9542105263
2016-12-12,0.7448234558105469,0.296120822429657,780.0869750976562,52.83000183105469,1.0547411441802979,1.2597631216049194,1163.5,0.008664609864354134,0.07242755591869354,5619.10009765625,59179.0,6890.39990234375,2256.9599609375,43892.51171875,19155.029296875,3199.110107421875,12.640000343322754,2.49,0.251904762,1.4336,0.04,2.799,8.9542105263
2016-12-13,0.7497376203536987,0.2996434271335602,780.5560302734375,52.97999954223633,1.0641694068908691,1.2675877809524536,1156.699951171875,0.008695500902831554,0.07352887094020844,5600.7001953125,59281.0,6968.60009765625,2271.719970703125,44170.66015625,19250.51953125,3236.7099609375,12.720000267028809,2.48,0.251904762,1.4336,0.04,2.799,8.9542105263
