"Date","Price","Open","High","Low","Vol.","Change %"
"11/12/2015","46,787.50","47,265.83","47,465.01","46,681.76","115.27M","-1.01%"
"11/13/2015","45,979.37","46,787.50","46,787.50","45,952.90","149.12M","-1.73%"
"11/16/2015","46,330.67","45,979.37","46,514.06","45,747.58","","0.76%"
"11/17/2015","46,751.10","46,330.67","47,043.68","46,330.67","150.05M","0.91%"
"11/18/2015","46,464.28","46,751.10","46,769.12","46,211.78","119.22M","-0.61%"
"11/19/2015","46,851.60","46,464.28","47,078.19","46,464.28","124.59M","0.83%"
"11/20/2015","46,963.11","46,851.60","47,214.63","46,696.73","102.40M","0.24%"
"11/23/2015","46,920.95","46,963.11","46,963.79","46,342.29","112.58M","-0.09%"
"11/24/2015","46,569.63","46,920.95","46,997.84","46,368.35","96.83M","-0.75%"
"11/25/2015","46,672.23","46,569.63","46,839.74","46,411.18","105.87M","0.22%"
"11/26/2015","46,877.40","46,672.23","47,108.19","46,599.62","82.57M","0.44%"
"11/27/2015","46,327.67","46,877.40","46,909.93","46,317.86","193.57M","-1.17%"
"11/30/2015","46,329.56","46,327.67","46,630.04","46,271.22","","0.00%"
"12/01/2015","46,295.25","46,329.56","46,735.59","46,242.96","","-0.07%"
"12/02/2015","46,024.24","46,295.25","46,497.55","45,893.68","","-0.59%"
"12/03/2015","45,371.37","46,024.24","46,024.24","45,371.37","","-1.42%"
"12/04/2015","44,347.44","45,371.37","45,371.37","44,172.12","228.53M","-2.26%"
"12/07/2015","44,898.68","44,347.44","45,276.96","44,347.44","136.07M","1.24%"
"12/08/2015","44,151.26","44,898.68","44,898.68","44,068.35","150.12M","-1.66%"
"12/09/2015","44,545.49","44,151.26","44,586.11","44,051.16","141.13M","0.89%"
"12/10/2015","44,250.70","44,545.49","44,942.05","44,229.26","446.21M","-0.66%"
"12/11/2015","43,558.35","44,250.70","44,487.02","43,213.38","419.66M","-1.56%"
"12/14/2015","43,415.47","43,558.35","44,396.01","42,816.87","275.93M","-0.33%"
"12/15/2015","43,701.61","43,415.47","43,838.40","43,205.79","195.46M","0.66%"
"12/17/2015","44,927.07","43,701.61","45,021.21","43,701.61","455.14M","2.80%"
"12/18/2015","43,978.57","44,927.07","44,938.49","43,927.07","195.74M","-2.11%"
"12/21/2015","44,368.53","43,978.57","44,510.91","43,914.23","80.03M","0.89%"
"12/22/2015","44,900.59","44,368.53","44,941.43","44,301.34","88.07M","1.20%"
"12/23/2015","45,865.58","44,900.59","46,057.12","44,900.59","89.39M","2.15%"
"12/24/2015","46,355.04","45,865.58","46,438.53","45,537.16","31.22M","1.07%"
"12/28/2015","46,243.42","46,355.04","46,701.73","45,725.54","38.68M","-0.24%"
"12/29/2015","45,996.54","46,243.42","46,388.10","45,812.89","54.52M","-0.53%"
"12/30/2015","45,900.83","45,996.54","46,200.93","45,858.15","45.92M","-0.21%"
"12/31/2015","45,797.30","45,900.83","46,085.59","45,668.06","32.39M","-0.23%"
"01/04/2016","44,459.75","45,797.30","45,797.30","44,396.63","88.98M","-2.92%"
"01/05/2016","44,673.09","44,459.75","44,893.17","44,116.61","88.48M","0.48%"
"01/06/2016","44,150.46","44,673.09","44,673.09","43,989.33","122.41M","-1.17%"
"01/07/2016","43,186.36","44,150.46","44,150.46","42,737.49","185.33M","-2.18%"
"01/08/2016","43,253.30","43,186.36","43,659.69","43,085.34","115.30M","0.16%"
"01/11/2016","43,482.54","43,253.30","43,791.69","42,681.55","164.45M","0.53%"
"01/12/2016","43,489.37","43,482.54","43,902.40","43,043.13","178.69M","0.02%"
"01/13/2016","43,422.42","43,489.37","43,889.46","43,305.53","156.48M","-0.15%"
"01/14/2016","42,741.46","43,422.42","43,422.42","42,663.57","164.68M","-1.57%"
"01/15/2016","42,105.00","42,741.46","43,011.91","41,941.57","185.12M","-1.49%"
"01/18/2016","42,093.40","42,105.00","42,747.27","42,059.36","133.18M","-0.03%"
"01/19/2016","42,872.39","42,093.40","43,184.71","42,093.40","151.42M","1.85%"
"01/20/2016","41,610.78","42,872.39","42,872.39","41,370.99","186.29M","-2.94%"
"01/21/2016","41,543.66","41,610.78","41,739.70","41,247.07","173.01M","-0.16%"
"01/22/2016","42,952.57","41,543.66","42,952.57","41,543.25","182.74M","3.39%"
"01/25/2016","42,413.33","42,952.57","43,200.97","42,345.29","144.24M","-1.26%"
"01/26/2016","42,625.80","42,413.33","42,768.74","41,727.20","157.05M","0.50%"
"01/27/2016","42,938.94","42,625.80","43,092.09","42,624.60","156.19M","0.73%"
"01/28/2016","43,746.33","42,938.94","44,061.69","42,890.10","175.72M","1.88%"
"01/29/2016","44,065.55","43,746.33","44,348.28","43,697.50","249.74M","0.73%"
"02/01/2016","43,881.35","44,065.55","44,444.84","43,523.81","181.81M","-0.42%"
"02/02/2016","42,972.08","43,881.35","43,881.35","42,932.52","151.18M","-2.07%"
"02/03/2016","43,447.44","42,972.08","43,751.58","42,651.52","147.39M","1.11%"
"02/04/2016","44,292.35","43,447.44","44,472.59","43,447.44","178.84M","1.94%"
"02/05/2016","44,453.51","44,292.35","44,559.94","43,923.70","132.66M","0.36%"
"02/08/2016","43,998.31","44,453.51","44,536.73","43,708.60","133.46M","-1.02%"
"02/09/2016","42,975.42","43,998.31","43,998.31","42,824.36","171.92M","-2.32%"
"02/10/2016","43,007.47","42,975.42","43,505.70","42,783.28","128.07M","0.07%"
"02/11/2016","42,054.18","43,007.47","43,007.47","41,870.75","180.77M","-2.22%"
"02/12/2016","43,119.66","42,054.18","43,401.98","42,050.06","129.50M","2.53%"
"02/15/2016","44,379.10","43,119.66","44,384.31","43,119.66","160.39M","2.92%"
"02/16/2016","43,951.37","44,379.10","44,857.55","43,942.63","126.34M","-0.96%"
"02/17/2016","44,591.74","43,951.37","44,719.95","43,856.67","165.02M","1.46%"
"02/18/2016","44,461.24","44,591.74","45,027.65","44,387.12","203.70M","-0.29%"
"02/19/2016","43,474.46","44,461.24","44,508.76","43,215.62","175.62M","-2.22%"
"02/22/2016","43,694.03","43,474.46","43,999.54","43,467.18","142.58M","0.51%"
"02/23/2016","42,949.32","43,694.03","43,711.67","42,848.38","184.75M","-1.70%"
"02/24/2016","42,452.61","42,949.32","42,949.32","41,916.80","168.14M","-1.16%"
"02/25/2016","42,742.91","42,452.61","43,018.57","42,452.61","150.45M","0.68%"
"02/26/2016","43,857.79","42,742.91","43,935.46","42,742.91","125.61M","2.61%"
"02/29/2016","43,802.56","43,857.79","44,025.82","43,369.86","","-0.13%"
"03/01/2016","44,620.53","43,802.56","44,727.37","43,787.29","143.94M","1.87%"
"03/02/2016","45,266.30","44,620.53","45,308.82","44,617.65","246.23M","1.45%"
"03/03/2016","45,946.02","45,266.30","46,087.15","45,168.27","196.87M","1.50%"
"03/04/2016","46,224.71","45,946.02","46,290.20","45,868.88","161.05M","0.61%"
"03/07/2016","46,601.06","46,224.71","46,652.30","45,952.17","170.54M","0.81%"
"03/08/2016","46,229.48","46,601.06","46,765.36","46,202.76","183.70M","-0.80%"
"03/09/2016","45,617.97","46,229.48","46,419.50","45,581.54","173.62M","-1.32%"
"03/10/2016","45,548.16","45,617.97","45,836.06","45,326.89","168.26M","-0.15%"
"03/11/2016","45,761.25","45,548.16","45,993.95","45,296.10","183.99M","0.47%"
